"site","year","month","dayl","prcp","srad","swe","tmax","tmin","tave","vp","ET_har","ET_thorn","spei_01","spei_02","spei_03","spei_04","spei_05","spei_06","spei_07","spei_08","spei_09","spei_10","spei_11","spei_12"
"Almont",1980,1,34682.6321824516,2.03225806451613,288.000000735484,49.9354838709677,0.483870967741935,-14.758064516129,-7.13709677419355,211.612903225806,19.1870940766711,0,-0.653933501469549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Almont",1980,2,38004.0828394379,2.58620689655172,389.406896655172,115.172413793103,1.70689655172414,-16.3103448275862,-7.30172413793103,197.241379310345,24.9743744214771,0,0.117711420004391,-0.238252237602546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Almont",1980,3,42430.7612147194,1.29032258064516,502.400002754839,183.225806451613,3.14516129032258,-14.1612903225806,-5.50806451612903,215.483870967742,42.1735219010456,0,1.8615612899763,1.29626581934947,0.837222182828362,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Almont",1980,4,47059.20013021,0.833333333333333,596.586667886667,206.666666666667,8.71666666666667,-9.18333333333333,-0.233333333333333,300,74.1058501905343,0,1.27498738599802,1.61502426512155,1.47252700307376,1.19312077050768,NA,NA,NA,NA,NA,NA,NA,NA
"Almont",1980,5,50903.535534271,1.29032258064516,595.303226593548,164.129032258065,14.758064516129,-1.62903225806452,6.56451612903226,407.741935483871,114.864542963931,48.6908618643877,1.18902283601947,1.40633834533366,1.63739948962046,1.56948872194252,1.39424985721826,NA,NA,NA,NA,NA,NA,NA
"Almont",1980,6,52773.1204426833,0,678.933335366667,96.2666666666667,24.6,1.48333333333333,13.0416666666667,249.333333333333,174.644548927529,88.3802308187405,-1.06884779697819,0.110161160042665,0.583544545685688,0.951877744450916,0.941197362893462,0.808267037820129,NA,NA,NA,NA,NA,NA
"Almont",1980,7,51773.1097530323,0.419354838709677,535.329035603226,5.93548387096774,26.6129032258065,5.32258064516129,15.9677419354839,325.161290322581,184.388975546386,107.275497003481,-1.02426191641314,-1.29616031593506,-0.34914168139209,0.13606558766831,0.554424549340246,0.569477567563014,0.44490521264423,NA,NA,NA,NA,NA
"Almont",1980,8,48305.9611895161,0.774193548387097,481.754841464516,0,24.7903225806452,4.20967741935484,14.5,304.516129032258,155.9661269493,92.7883872808223,-0.728434963435451,-1.08820025467499,-1.34173560424916,-0.590297584487195,-0.10930595547825,0.297842959916878,0.315459238484992,0.202870403546925,NA,NA,NA,NA
"Almont",1980,9,43810.56015625,0.733333333333333,448.10666504,0,21.7166666666667,0.4,11.0583333333333,313.333333333333,113.497791649413,64.5738119107151,-0.995367947899532,-1.29019266247973,-1.35665086171278,-1.54196548611826,-0.80317710855389,-0.315759574977256,0.0801387788095571,0.0960130585854498,-0.00548229288497953,NA,NA,NA
"Almont",1980,10,39208.8772681419,0.870967741935484,344.051611625806,0,14.3387096774194,-6.29032258064516,4.0241935483871,289.032258064516,65.6968715436135,24.8990367951818,-0.176916823605498,-0.730093936129984,-1.11645055849579,-1.26270194418017,-1.4892905206582,-0.813287207476019,-0.339369460176694,0.0551816781989978,0.0799039357011284,-0.0103756553552167,NA,NA
"Almont",1980,11,35400.9598958367,0.433333333333333,295.89333242,3.2,8.15,-10.9,-1.375,272,34.232595851821,0,-0.977081979245166,-0.719596619646432,-1.07680627316839,-1.47828056889532,-1.51756828551129,-1.67313591691518,-0.961590664997984,-0.469353135638244,-0.07111839466133,-0.038187237235009,-0.122516338260463,NA
"Almont",1980,12,33615.3595052367,0.566666666666667,275.946668496667,18.9333333333333,5.58333333333333,-12.0166666666667,-3.21666666666667,240,25.5998959668986,0,-2.25227754463964,-1.95551913739624,-1.62873216849401,-1.8691900474216,-2.17608263765733,-1.97788932614828,-1.96468927476004,-1.29336536181212,-0.794495474695817,-0.405495619161804,-0.363267201475387,-0.429622432120396
"Almont",1981,1,34682.6321824516,0.290322580645161,316.490321990323,64.5161290322581,3.2741935483871,-16.7741935483871,-6.75,172.903225806452,22.8042437992975,0,-1.95006031239447,-2.30958307133117,-2.13418718827671,-2.0321957656678,-2.11708150344297,-2.372457957728,-2.17590249443338,-2.11281615022696,-1.52081582146164,-1.01032867980652,-0.621002227844478,-0.578888192626813
"Almont",1981,2,37929.6000279,0.285714285714286,406.857140678571,77.4285714285714,4.21428571428571,-15.875,-5.83035714285714,175.714285714286,30.0674037665723,0,-1.46719212411811,-1.8996112860236,-2.1515603670667,-2.18735546201407,-2.11029126767999,-2.13621401276018,-2.38212932626136,-2.24102714952999,-2.25596685217228,-1.69990042230565,-1.19806148968192,-0.812361086428867
"Almont",1981,3,42285.8322832677,0.612903225806452,469.05806166129,92.5161290322581,6.08064516129032,-10.0483870967742,-1.98387096774194,223.225806451613,52.3865666979467,0,-0.00247435853179205,-0.71236435926209,-1.22345172832851,-1.65819464745387,-1.78099560067423,-1.71881457975564,-1.82526886960606,-1.9121010079487,-1.88691722394704,-2.06356504477106,-1.6004395930332,-1.12245787357187
"Almont",1981,4,46909.4401041667,0.2,597.43999634,86,14.6666666666667,-4.9,4.88333333333333,154.666666666667,100.046503744348,33.7814725009045,-1.60573838462286,-1.16793923019257,-1.42640158975735,-1.66718818946548,-1.92289977107871,-1.97344846397099,-1.86119524132471,-1.93960235288577,-1.9933279965903,-1.96336686531373,-2.14914280840297,-1.84975100527506
